Colorado Building ID,Building Street Address (ESPM),Building City (ESPM),Latitude,Longitude,Gross Floor Area (Tax Assessor),Primary Property Type - Portfolio Manager-Calculated,Weather Normalized Site EUI (kBtu/ft²),Gross Floor Area (ESPM),Total GHG Emissions (Metric Tons CO2e),Building Street Address (Tax Assessor)
2641,444 17th St,Denver,39.7444882,-104.9892235,88943.0,Multifamily Housing,49.8,88943.0,535.67,444 17TH ST
2734,2480 Downing Street,Denver,39.7529643,-104.9723815,51544.0,K-12 School,62.1,51544.0,251.14,2480 DOWNING STREET
2994,1390 Logan,Denver,39.7381441,-104.9819777,54512.0,Financial Office,60.5,44216.0,260.86,1390 LOGAN
2666,1900 Grant Street,Denver,39.7466158,-104.9832251,138836.0,Office,50.7,139036.0,718.37,1900 GRANT ST
2893,1011 Colorado Blvd,Denver,39.7323159,-104.9410414,51860.0,Multifamily Housing,,51860.0,,1011 COLORADO BLVD
3122,818 Logan St.,Denver,39.7293641,-104.9820581,69087.0,Multifamily Housing,74.2,84030.0,483.19,818 LOGAN ST.
2726,201 E. COLFAX,DENVER,39.7403756,-104.9845678,78000.0,OFFICE,,78000,,201 E. COLFAX
3045,490 W Colfax Ave,Denver,39.739401,-104.9934685,438411.0,Prison/Incarceration,107.5,438411.0,3914.76,490 W COLFAX AVE
3392,65 N Clarkson Street,Denver,39.7176153,-104.9783018,54650.0,Multifamily Housing,38.0,42510.0,128.40,65 N CLARKSON STREET
3046,520 W Colfax Ave,Denver,39.7392897,-104.9949884,318000.0,Courthouse,69.8,318000.0,1867.92,520 W COLFAX AVE
2740,2024 N Clarkson St,Denver,39.7479479,-104.9766146,68240.0,Multifamily Housing,66.4,68240.0,403.48,2024 N CLARKSON ST
4477,9888 Vassar Dr,Denver,39.6692749,-104.870637,389411.0,MULTIFAMILY HOUSING,,389411,,9888 VASSAR DR
4265,8155 Fairmount Drive,Denver,39.7113678,-104.8915428,195408.0,Multifamily Housing,72.3,395185.0,2424.93,8335 FAIRMOUNT DRIVE
2669,1888 Sherman Street,Denver,39.7459124,-104.9843852,63927.0,Office,53.8,72688.0,541.94,1888 SHERMAN STREET
3123,888 LOGAN ST,DENVER,39.7301111,-104.9821033,190000.0,MULTIFAMILY HOUSING,,190000,,888 LOGAN ST
2922,1177 N RACE STREET,DENVER,39.7400008,-104.9634854,,,,,,1177 N RACE STREET
3013,1331 Cherokee St,Denver,39.7372716,-104.9923117,197588.0,Mixed Use Property,153.9,197588.0,2508.78,1331 CHEROKEE ST
2670,1827 Grant St,Denver,39.745575,-104.9839957,238559.0,Multifamily Housing,40.7,113304.0,478.66,1827 GRANT ST
3400,101 University Blvd.,Denver,39.7189818,-104.9596295,64110.0,Office,,64110.0,,101 UNIVERSITY BLVD.
3053,420 W 12th Ave,Denver,39.7350666,-104.9938014,70603.0,Multifamily Housing,51.0,74042.0,381.39,420 W 12TH AVE
4489,2570 S Dayton Way,Denver,39.670787,-104.8735561,328373.0,Multifamily Housing,50.2,354986.0,1453.55,2570 S DAYTON WAY
4799,5002-5082 E Hampden Ave,Denver,39.6519835,-104.9290078,59164.0,STRIP MALL,,59164,,5002-5082 E HAMPDEN AVE
4628,8225 FAIRMOUNT DRIVE,DENVER,39.7091366,-104.8910099,135408.0,LODGINGRESIDENTIAL,,135408,,8225 FAIRMOUNT DRIVE
4274,7877 E MISSISSIPPI AVE,DENVER,39.6972635,-104.897222,227670.0,LODGINGRESIDENTIAL,,227670,,7877 E MISSISSIPPI AVE
4498,10050 E Harvard Ave,Denver,39.6716503,-104.8713627,472693.0,Multifamily Housing,44.7,383223.0,1466.14,10050 E HARVARD AVE
5500,680 Sheridan Blvd,Denver,39.7276443,-105.0526762,111300.0,Self-Storage Facility,1.4,111300.0,20.00,680 SHERIDAN BLVD
4342,890 S MONACO PKWY,Denver,39.7007023,-104.911327,64844.0,Supermarket/Grocery Store,136.3,64844.0,1087.43,890 S MONACO PKWY
4807,4363 S Quebec St,Denver,39.6369288,-104.9056699,193725.0,Multifamily Housing,26.0,331303.0,864.74,4369 S. QUEBEC
5025,7700 W QUINCY AVE,LITTLETON,39.6362742,-105.0834656,,Retail Store,78.7,130500.0,1208.87,7700 W QUINCY AVE
2924,2000 E 12th Ave,Denver,39.7347339,-104.9631579,131000.0,Multifamily Housing,,131000.0,,2000 E 12TH AVE
3014,1371 Cherokee St,Denver,39.7381943,-104.9924643,71646.0,Laboratory,219.5,73249.0,1281.10,1371 CHEROKEE ST
3054,1391 Speer Blvd,Denver,39.7382459,-104.9983527,,Office,62.4,147506.0,939.14,1391 NORTH SPEER BOULEVARD
3402,560 Corona St,Denver,39.7249943,-104.9732907,,Supermarket/Grocery Store,151.0,51609.0,798.41,560 CORONA ST
2671,1800 Grant Street,Denver,39.7452515,-104.9832364,117624.0,Office,55.7,117624.0,909.18,1800 GRANT STREET
3019,1226 BANNOCK ST,DENVER,39.7355378,-104.9899082,50000.0,OFFICE,,50000,,1226 BANNOCK ST
3055,1255 Galapago Street,Denver,39.7364003,-104.9974295,117544.0,MULTIFAMILY HOUSING,,117544,,1255 GALAPAGO ST.
3133,789 N Sherman St.,Denver,39.7286462,-104.9851155,96160.0,Office,56.1,98629.0,552.72,789 N SHERMAN ST.
4343,925 S Niagara Street,Denver,39.6998889,-104.9114287,63170.0,Office,57.5,63170.0,340.04,925 S NIAGARA STREET
2699,1509 N PEARL ST #200,DENVER,39.7404341,-104.9802318,74953.0,Government,,74953,,1509 N PEARL ST #200
5273,1956 Lawrence St,Denver,39.7518328,-104.991749,149671.0,Multifamily Housing,41.3,149671.0,574.27,1956 LAWRENCE STREET
4502,10375 E. Harvard Ave,Denver,39.6724266,-104.8697109,133667.0,Office,29.0,129862.0,294.30,10375 E. HARVARD AVE
3459,3000 East First Ave,Denver,39.7168661,-104.9527576,1069649.0,Enclosed Mall,69.5,1069649.0,9581.77,3000 EAST FIRST AVE.
3090,150 W 9th Avenue,Denver,39.7302715,-104.9894928,375320.0,Multifamily Housing,43.9,368856.0,1522.18,150 W 9TH AVENUE
4808,7200 E Quincy Ave,Denver,39.6381528,-104.9047575,90613.0,Senior Living Community,25.1,100415.0,343.80,7200 E QUINCY AVE
4633,8030 East Girard Avenue,Denver,39.6538716,-104.8968565,178870.0,Multifamily Housing,66.7,176480.0,913.54,8030 EAST GIRARD AVE
3461,200 S University Blvd,Denver,39.712135,-104.9584197,55000.0,Worship Facility,37.7,82498.0,337.03,200 S UNIVERSITY BLVD
4875,7601 Technology Way,Denver,39.6311767,-104.9025132,191528.0,Office,73.3,191368.0,1820.75,7601 TECHNOLOGY WAY
4506,10200 E. HARVARD AVE.,DENVER,39.6714496,-104.8682432,131062.0,LODGINGRESIDENTIAL,,131062,,10200 E. HARVARD AVE.
5279,2000 Valentia St.,Denver,39.7480469,-104.8903421,108002.0,K-12 School,71.5,108002.0,887.62,2000 VALENTIA ST.
5154,1200 Acoma/55 W 12 Ave,Denver,39.7360128,-104.9878021,126300.0,Multifamily Housing,,126300.0,,55 W 12 AVE
5096,9400 PEA BLVD,DENVER,39.7392358,-104.990251,,REPAIR SERVICES (VEHICLE,,,,9400 PEA BLVD
3056,601 W 11th Avenue,Denver,39.7342136,-104.995092,173690.0,Multifamily Housing,38.0,200152.0,792.61,601 W 11TH AVENUE
4581,2000 S. Colorado Blvd,Denver,39.6805126,-104.9386536,204500.0,Parking,45.6,204500.0,1291.34,2000 S. COLORADO BLVD
5168,12601 E 38th Ave,Denver,39.7691896,-104.8365876,148000.0,Manufacturing/Industrial Plant,43.9,144000.0,703.57,12601 E 38TH AVENUE
4635,3150 S. Tamarac Drive,Denver,39.6583783,-104.8987128,120250.0,Multifamily Housing,54.1,120250.0,506.39,3150 S. TAMARAC DRIVE
5311,2445 S. Quebec Street,Denver,39.6718299,-104.9042101,128096.0,Senior Living Community,,128096.0,,2445 S. QUEBEC STREET
3462,3131 E Alameda Ave,Denver,39.7113233,-104.9506124,257325.0,Multifamily Housing,40.6,330170.0,1088.90,3131 E ALAMEDA AVE
5509,7420 E Quincy Ave,Denver,39.6383149,-104.9027621,67974.0,Multifamily Housing,41.7,84464.0,266.89,7420 E QUINCY AVE.
3197,890 NAVAJO ST,DENVER,39.729559,-105.0037961,56160.0,MANUFACTURING/INDUSTRIAL PLANT,,56160,,890 NAVAJO ST
C16303,1520 Main Street,Windsor,40.4814253,-104.9277519,81931.0,Supermarket/Grocery Store,109.5,81931.0,1208.39,1520 MAIN ST
3560,320 S Lipan St,Denver,39.7100801,-105.000772,75000.0,Distribution Center,49.7,69280.0,264.19,320 S LIPAN ST
4877,7700 Technology way,Denver,39.6320106,-104.8998306,187103.0,Office,73.9,187103.0,1726.54,7700 TECHNOLOGY WAY
C16310,520 Welker Ave,Mead,40.2325735,-105.0022241,68855.0,K-12 School,66.4,52562.0,340.07,520 WELKER AVE
5317,2500 Walnut St,Denver,39.7583111,-104.9868044,62061.0,Multifamily Housing,40.4,66101.0,228.34,2500 WALNUT ST
5132,10298 E 45th Ave & Havana,Denver,39.778865,-104.8659076,136385.0,Self-Storage Facility,17.3,136385.0,181.39,10298 E 45TH AVE & HAVANA
5098,8300 PEA BLVD,DENVER,39.847478,-104.6739511,698307.0,HOTEL,,698307,,8300 PEA BLVD
4582,2000 S. Colorado Blvd,Denver,39.6805126,-104.9386536,274600.0,Office,40.9,274600.0,1457.49,2000 S. COLORADO BLVD
1035,21601 E. 51st Place,Denver,39.7899612,-104.737084,112253.0,K-12 School,48.9,112253.0,465.55,21601 E. 51ST PLACE
5528,821 16th St,Denver,39.7464397,-104.9934285,75020.0,Office,77.4,93524.0,872.28,821 16TH ST
3464,3200 E Cherry Creek South Drive,Denver,39.7123578,-104.9496136,144493.0,Office,64.7,144493.0,1295.30,3200 E CHERRY CREEK SOUTH DRIVE
3568,451 South Tejon Street,Denver,39.708722,-105.0122757,150142.0,K-12 School,57.5,150111.0,645.21,451 SOUTH TEJON STREET
4885,8000 E. Quincy Ave.,Denver,39.6374454,-104.8961513,98064.0,Retail Store,87.2,74393.0,760.68,8000 E. QUINCY AVE.
5319,2535 S. Downing Street,Denver,39.6705335,-104.9743468,77857.0,Medical Office,84.6,90699.0,855.10,2535 S. DOWNING ST.
5139,1090 Osage St,Denver,39.7335579,-105.005027,97956.0,Multifamily Housing,71.4,97956.0,637.55,1090 OSAGE ST
4886,7800 East Tufts Avenue,Denver,39.6302119,-104.8991007,421000.0,Hotel,67.0,430052.0,2793.71,7800 E. TUFTS AVE
5102,26920 E 86TH AVE,DENVER,39.8517258,-104.6736677,98461.0,ENERGY/POWER STATION,,98461,,26920 E 86TH AVE
1038,4905 Cathay St,Denver,39.7864571,-104.765739,78979.0,K-12 School,69.7,78979.0,527.31,4905 CATHAY ST
5529,821 17th Street,Denver,39.7474024,-104.9922249,106231.0,Office,41.4,106231.0,413.07,821 17TH STREET
3207,3190 W 14th Ave,Denver,39.7381111,-105.0283457,,Multifamily Housing,63.2,342633.0,1523.62,3190 W 14TH AVE
3712,1777 S. Harrison St.,Denver,39.685114,-104.9412581,228142.0,Office,46.9,228142.0,965.02,1777 S. HARRISON ST.
3210,3275 W. 14TH AVE.,DENVER,39.7394706,-105.0289723,136675.0,MULTIFAMILY HOUSING,,136675,,3275 W. 14TH AVE.
3713,1888 S Jackson St,Denver,39.6823327,-104.9426271,97022.0,Multifamily Housing,75.1,97022.0,524.14,1888 SOUTH JACKSON ST
3578,730 S Jason Street,Denver,39.7038233,-104.9977899,81879.0,Distribution Center,62.7,81879.0,373.53,730 S JASON STREET
3959,1250 NEWPORT STREET,DENVER,39.7368665,-104.9089727,63871.0,K-12 SCHOOL,,63871,,1250 NEWPORT STREET
3465,2500 Cherry Creek Drive South,Denver,39.7154269,-104.9568012,187096.0,Multifamily Housing,54.7,187096.0,734.42,2500 E. CHERRY CREEK SOUTH DRIVE
4585,2180 S Colorado Blvd,Denver,39.6769653,-104.939889,348519.0,Multifamily Housing,41.9,348519.0,1396.14,2180 S COLORADO BLVD
5108,27550 E 75TH AVE,DENVER,39.831993,-104.6657567,115960.0,FOOD SERVICE,,115960,,27550 E 75TH AVE
4888,7900 East Union Ave,Denver,39.6277427,-104.895953,210900.0,Office,44.9,210900.0,973.05,7900 EAST UNION AVE
5209,15200 E 53rd Ave,Denver,39.7892875,-104.8108071,75760.0,Self-Storage Facility,2.4,75760.0,19.51,15200 E 53RD AVE
5320,2555 17th Street,Denver,39.7602486,-105.0087061,93033.0,Multifamily Housing,33.0,109986.0,393.25,2555 17TH STREET
4589,4600 E Asbury Circle,Denver,39.679897,-104.9342128,56900.0,Multifamily Housing,46.3,61614.0,224.32,4600 E. ASBURY CIRCLE
5749,720 S. Clinton St.,Denver,39.7036942,-104.8757099,59348.0,Multifamily Housing,34.7,59348.0,159.20,720 S. CLINTON ST.
5173,1301 Speer Blvd,Denver,39.7372756,-104.9970986,109360.0,Multifamily Housing,36.5,109360.0,391.53,1301 SPEER BLVD
5851,2900 SHERIDAN BLVD,DENVER,39.7588156,-105.0528269,50987.0,MULTIFAMILY HOUSING,,50987,,2900 SHERIDAN BLVD
6221,1449 7TH ST,DENVER,39.7449406,-105.0088062,124220.0,EDUCATION,,124220,,1449 7TH ST
5113,26400 E 75TH AVE,DENVER,39.8317636,-104.6793623,81671.0,DISTRIBUTION CENTER,,81671,,26400 E 75TH AVE
5644,1650 Wewatta St,Denver,39.7535291,-105.0015937,371073.0,Multifamily Housing,72.6,256319.0,1777.31,1650 WEWATTA ST
3717,2020 South Monroe Street,Denver,39.6797756,-104.9444465,253174.0,Multifamily Housing,67.0,253174.0,1440.93,2020 SOUTH MONROE STREET
4039,7711 E. Academy Blvd.,Denver,39.7210879,-104.8952687,166783.0,Museum,54.8,166783.0,660.38,7711 E. ACADEMY BLVD.
3584,756 South Jason Street,Denver,39.7024461,-104.998307,72364.0,Non-Refrigerated Warehouse,65.6,72364.0,298.18,756 SOUTH JASON STREET
5809,2930 E 2nd Ave,Denver,39.7191392,-104.9528488,55127.0,Multifamily Housing,41.6,55127.0,238.33,2930 E 2ND AVE
3963,6220 E 14th Ave,Denver,39.737212,-104.9156076,,Supermarket/Grocery Store,157.7,57716.0,976.12,6220 EAST 14TH AVE
5646,1000 N Speer Blvd,Denver,39.7317553,-104.9919712,236166.0,Multifamily Housing,56.8,302608.0,1560.85,1000 SPEER BLVD
3777,711 East Yale Avenue,Denver,39.6685657,-104.9772194,57053.0,Adult Education,33.3,57053.0,141.79,711 E. YALE AVE.
3213,1155 Decatur Street,Denver,39.7353107,-105.0222463,154300.0,Multifamily Housing,45.5,159691.0,615.27,1155 DECATUR STREET
6386,3901 Wynkoop St,Denver,39.7741683,-104.9728042,530450.0,Multifamily Housing,42.8,417963.0,1777.01,3901 WYNKOOP ST
3719,2033 S Colorado Blvd,Denver,39.679305,-104.941985,52448.0,Supermarket/Grocery Store,,52448.0,,2033 S COLORADO BLVD
6387,2950 N BRIGHTON BLVD,DENVER,39.7646036,-104.9855387,601951.0,MULTIFAMILY HOUSING,,601951,,2950 N BRIGHTON BLVD
3726,1920 S University Blvd,Denver,39.680993,-104.9588232,118935.0,Multifamily Housing,,118935.0,717.82,1920 S UNIVERSITY BLVD
5827,16161 E 40TH AVE,DENVER,39.7735857,-104.7997739,88420.0,OTHER,,88420,,16161 E 40TH AVE
5437,4500 E 9th Avenue,Denver,39.7307567,-104.9344287,136946.0,Medical Office,64.5,136946.0,912.34,4500 E 9TH AVENUE
6200,2550 Lawrence St,Denver,39.7572869,-104.9849072,176842.0,Multifamily Housing,,137245.0,,2590 LAWRENCE ST
4889,5001 S Ulster St,Denver,39.6266082,-104.8961779,74729.0,Hotel,49.0,74729.0,384.23,5001 S ULSTER ST
6388,1140 N Bannock Street,Denver,39.7339952,-104.99001,637236.0,Multifamily Housing,41.7,497199.0,2179.48,1100 N BANNOCK ST
3983,4567 EAST 9TH AVENUE,DENVER,39.7315518,-104.9336882,701850.0,Hospital (General Medical & Surgical),222.7,725661.0,13760.64,4567 EAST 9TH AVENUE
5679,1770 Chestnut Place,Denver,39.7551981,-105.0016306,708773.0,Multifamily Housing,87.5,548271.0,4796.96,1770 CHESTNUT PLACE
5333,27280 E 75TH AVE,DENVER,39.8307434,-104.6684056,299501.0,FOOD SERVICE,,299501,,27280 E 75TH AVE
6237,1010 Santa Fe Dr,Denver,39.7323833,-104.9983103,76339.0,Multifamily Housing,49.3,212725.0,1063.11,1010 N SANTA FE DR
5647,1801 Chestnut Place,Denver,39.7569984,-105.0005613,455366.0,Multifamily Housing,33.3,455366.0,1417.23,1801 CHESTNUT PLACE
4890,4600 South Syracuse,Denver,39.6292415,-104.8988139,322063.0,Office,44.5,322063.0,1758.33,4600 SOUTH SYRACUSE
3984,825 Dahlia Street,Denver,39.7298935,-104.9319049,58069.0,Multifamily Housing,68.3,53288.0,273.63,825 DAHLIA STREET
5612,4700 S Syracuse St,Denver,39.6269648,-104.8984735,194887.0,Office,48.5,194887.0,998.01,4700 S SYRACUSE ST
5114,26900 E 75TH AVE,DENVER,39.8315964,-104.6745291,104700.0,DISTRIBUTION CENTER,,104700,,26900 E 75TH AVE
5856,1880 Little Raven Street,Denver,39.7583708,-105.0027778,145941.0,Multifamily Housing,48.2,155571.0,776.25,1800 LITTLE RAVEN ST
5194,1445 Market St.,Denver,39.7490425,-105.0000873,73299.0,Office,45.3,73299.0,341.18,1445 MARKET ST.
5479,5500 W Jewell Ave,Lakewood,39.6813198,-105.0562894,72500.0,Self-Storage Facility,2.3,77500.0,20.09,5500 W JEWELL AVE
4902,7800 East Union Ave.,Denver,39.627633,-104.8978385,203927.0,Office,58.2,203927.0,1374.67,7800 EAST UNION AVE.
5481,575 S. BROADWAY,DENVER,39.7062011,-104.98922,62249.0,ENCLOSED MALL,,62249,,575 S. BROADWAY
4441,1400 S. Colorado Blvd.,Denver,39.6909991,-104.9402676,53268.0,Mixed Use Property,56.2,57600.0,303.75,1400 S. COLORADO BLVD.
4594,2466 S Colorado Blvd,Denver,39.6715852,-104.9401466,272593.0,Strip Mall,31.7,258214.0,860.88,2466 S COLORADO BLVD
6358,2950 Arkins Court,Denver,39.7658912,-104.9868102,111049.0,Multifamily Housing,52.4,351470.0,1746.32,2950 ARKINS CT
5531,8269 E 23rd Ave.,Denver,39.7515463,-104.8918931,70375.0,Office,49.1,70375.0,316.95,8269 E 23RD AVE.
4607,2730 S Colorado Blvd,Denver,39.6675858,-104.938429,59610.0,STRIP MALL,,59610,,2730 S COLORADO BLVD
5484,600 GRANT STREET,DENVER,39.7260625,-104.9831985,130029.0,OFFICE,,130029,,600 GRANT STREET
6246,1035 Osage St,Denver,39.7326822,-105.0056108,71907.0,Mixed Use Property,61.6,84930.0,661.91,1035 OSAGE ST
3968,4455 E 12th Ave,Denver,39.7349798,-104.93559,75000.0,Medical Office,51.1,90701.0,568.64,4455 E 12TH AVE
6389,6900 Layton Avenue,Denver,39.6267868,-104.9060959,893926.0,Office,55.1,439872.0,3152.55,6900 E LAYTON AVE
3730,2360 East Evans Avenue,Denver,39.6776774,-104.9588761,213267.0,Multifamily Housing,50.0,294099.0,1689.98,2360 EAST EVANS AVENUE
5755,795 S. Alton Way,Denver,39.700718,-104.8759987,59348.0,Multifamily Housing,39.7,59348.0,179.40,795 S. ALTON WAY
5350,2980 Syracuse St,Denver,39.7590237,-104.8986223,185524.0,Multifamily Housing,,185524.0,,2980 SYRACUSE ST
4329,6700 East Virginia Avenue,Denver,39.7071131,-104.9093196,53370.0,K-12 School,77.9,53370.0,267.06,6700 EAST VIRGINIA AVENUE
5651,2975 Huron Street,Denver,39.7597455,-104.9974896,362242.0,Multifamily Housing,26.8,362242.0,1282.76,2975 HURON ST
4892,7675 E UNION AVE,DENVER,39.6289489,-104.9008966,105764.0,HOTEL,,105764,,7675 E UNION AVE
5120,27500-A E 80TH AVE,DENVER,39.8442183,-104.6657758,,REPAIR SERVICES (VEHICLE,,,,27500-A E 80TH AVE
C10035,3415 COLORADO AVENUE,BOULDER,40.0081002,-105.2491565,55583.0,MEDICAL OFFICE,,55583,,3415 COLORADO AVENUE
5681,1144 15th Street,Denver,39.7470304,-104.9972984,786400.0,Office,40.0,784291.0,4376.57,1144 15TH STREET
5438,4545 Airport Way,Denver,39.7770742,-104.7952869,75000.0,Office,134.3,89021.0,1658.18,4545 AIRPORT WAY
3740,2499 S Colorado Blvd,Denver,39.6714023,-104.9410538,109122.0,MULTIFAMILY HOUSING,,109122,,2499 S COLORADO BLVD
4595,2479 S CLERMONT ST.,DENVER,39.6718021,-104.9354843,266753.0,SENIOR LIVING COMMUNITY,,266753,,2479 S CLERMONT ST.
6248,2020 South High Street,Denver,39.6793569,-104.9643992,130669.0,Residence Hall/Dormitory,44.4,139121.0,614.56,2020 SOUTH HIGH STREET
5223,1615 California Street,Denver,39.7455137,-104.9919794,58390.0,Office,52.4,78827.0,377.04,1615 CALIFORNIA STREET
C10083,1966 Prairie Center Pkwy,Brighton,39.9585172,-104.7719673,51607.0,Retail Store,,50260.0,,1966 PRAIRIE CENTER PKWY
5683,610 S. Clinton St.,Denver,39.7060068,-104.8757696,59348.0,Multifamily Housing,37.4,59348.0,165.84,610 S. CLINTON ST.
4345,6800 Leetsdale Drive,Denver,39.7000812,-104.9100496,70672.0,Senior Living Community,70.2,70672.0,408.28,6800 LEETSDALE DRIVE
5206,1515 E 47TH AVE,DENVER,39.7821142,-104.9695671,,,,,,1515 E 47TH AVE
6391,675 15th Street,Denver,39.7442341,-104.9929447,1097914.0,Office,24.4,1125813.0,3764.49,675 15TH ST
4895,4900 South Syracuse,Denver,39.6267689,-104.9012904,517339.0,Hotel,86.2,506463.0,4008.19,4900 SOUTH SYRACUSE
6343,6238 TOWER RD,DENVER,39.8091756,-104.7702015,64370.0,COMMERCIAL-HOTEL,,64370,,6238 TOWER RD
5616,1550 Wewatta Street,Denver,39.752575,-105.0024784,227631.0,Office,46.7,231751.0,1271.38,1550 WEWATTA STREET
5143,11196 E. 45th Ave,Denver,39.7776489,-104.854539,163304.0,Non-Refrigerated Warehouse,40.0,163028.0,491.92,11196 E. 45TH AVE
6250,2920 W 29th Ave,Denver,39.7580535,-105.024602,90780.0,Multifamily Housing,50.4,91507.0,489.64,2920 W 29TH AVE
3731,2200 S UNIVERSITY,DENVER,39.6760552,-104.9589919,129709.0,MULTIFAMILY HOUSING,,129709,,2200 S UNIVERSITY
C10036,900 28th St.,Boulder,40.0042506,-105.2569876,71447.0,Multifamily Housing,144.0,95353.0,1871.02,900 28TH ST
5441,4610 S. Ulster,Denver,39.6310696,-104.8953049,157196.0,Office,45.3,156440.0,882.66,4610 S. ULSTER
3743,3901 E YALE AVE,DENVER,39.667982,-104.9416364,54000.0,Government,,54000,,3901 E YALE AVE
3971,1121 ALBION STREET,DENVER,39.7333571,-104.9397659,82000.0,MULTIFAMILY HOUSING,,82000,,1121 ALBION STREET
6201,155 Steele St,Denver,39.7187477,-104.9500883,,Multifamily Housing,48.2,169038.0,794.25,155 N STEELE ST
5590,595 S. BROADWAY,DENVER,39.7066985,-104.9905472,173121.0,ENCLOSED MALL,,173121,,595 S. BROADWAY
3780,2525 South Downing Street,Denver,39.669448,-104.9756417,735291.0,Hospital (General Medical & Surgical),311.1,738266.0,18069.83,2525 S DOWNING ST.
4930,8100 E. Union Avenue,Denver,39.6292329,-104.8943699,763287.0,Multifamily Housing,24.6,763287.0,2493.53,8100 E. UNION AVENUE
5541,860 CLERMONT STREET,DENVER,39.7302803,-104.9348747,92102.0,MULTIFAMILY HOUSING,,92102,,860 CLERMONT STREET
5248,1771 S QUEBEC WAY,DENVER,39.6849978,-104.8930745,149374.0,MULTIFAMILY HOUSING,,149374,,1771 S QUEBEC WAY
5241,1719 E. 19TH AVENUE,DENVER,39.7467656,-104.9670937,891611.0,Hospital (General Medical & Surgical),221.5,1002824.0,19743.97,1719 E. 19TH AVENUE
5652,2525 Wewatta Way,Denver,39.7625597,-104.9898169,351081.0,Multifamily Housing,43.2,331456.0,1358.90,2525 WEWATTA WAY
5533,850 E. Harvard Avenue,Denver,39.6703298,-104.9777961,71023.0,Medical Office,78.8,82652.0,671.54,850 E. HARVARD AVE.
5857,1750 Little Raven St.,Denver,39.7571547,-105.0036615,339304.0,Multifamily Housing,40.4,351449.0,1544.10,1710 LITTLE RAVEN ST
4608,2780 S Colorado Blvd,Denver,39.6659631,-104.9392681,87000.0,STRIP MALL,,87000,,2780 S COLORADO BLVD
5356,"3030 E 1st Ave, Denver, CO 80206, USA",Denver,39.7173843,-104.9522728,90429.0,Enclosed Mall,55.3,90612.0,696.63,3030 EAST FIRST AVENUE
4897,5075 South Syracuse Street,Denver,39.6250719,-104.9008637,,Office,43.2,258824.0,1194.42,5075 SOUTH SYRACUSE STREET
4445,4280 East Iowa Avenue,Denver,39.6870181,-104.9378798,136313.0,Multifamily Housing,64.5,159221.0,634.37,4280 E IOWA AVE
5124,100 Fillmore St.,Denver,39.7186425,-104.9530314,92217.0,Office,56.6,92616.0,570.16,100 FILLMORE ST.
5858,1681 Chestnut Place,Denver,39.7548225,-105.0028451,479404.0,Office,41.8,481118.0,2237.43,1681 CHESTNUT PLACE
5246,1745 STOUT ST,DENVER,39.7476507,-104.9912631,120936.0,PUBLIC SERVICE,,120936,,1745 STOUT ST
5487,6144 N Panasonic Way,Denver,39.8093213,-104.7810157,112000.0,Mixed Use Property,,123438.0,,6144 NORTH PANASONIC WAY
4054,200 Quebec St #400,Denver,39.7203612,-104.9011116,,Supermarket/Grocery Store,181.1,50250.0,1002.93,200 QUEBEC ST #400
4601,3051 South Elm Street,Denver,39.6638801,-104.9302466,73120.0,K-12 School,59.1,73120.0,292.36,3051 SOUTH ELM STREET
C10084,850 E 88th AVENUE,Thornton,39.8549885,-104.9752091,,Wholesale Club/Supercenter,136.2,51660.0,804.01,850 E 88TH AVE
5334,2747 Wyandot St,Denver,39.7567101,-105.0148501,55000.0,Hotel,53.6,60399.0,334.78,2747 WYANDOT ST
C10009,1208 W ELIZABETH ST,FORT COLLINS,40.5751009,-105.0975693,169139.0,MULTIFAMILY HOUSING,,169139,,1208 W ELIZABETH ST
5362,355 S Grove St,Denver,39.7104438,-105.0267021,78371.0,Multifamily Housing,,73216.0,,3116 W ALAMEDA AVE
4939,5195 West Quincy Ave,Denver,39.6403631,-105.0523533,62899.0,Senior Living Community,76.6,62899.0,482.77,5195 WEST QUINCY AVE
4898,7595 Technology Way,Denver,39.6306493,-104.9027164,190865.0,Office,49.1,191796.0,1262.77,7595 TECHNOLOGY WAY
6344,2128 W 32ND AVE,DENVER,39.7618693,-105.0127265,66346.0,OFFICE,,66346,,2128 W 32ND AVE
5431,4400 E Mississippi Ave,Denver,39.6962378,-104.9357825,55482.0,Multifamily Housing,49.5,55482.0,250.80,4400 EAST MISSISSIPPI AVE
6255,63 N Quebec St.,Denver,39.7175118,-104.9040081,71290.0,Other - Mall,122.0,71290.0,1077.12,63 N QUEBEC ST
5831,6762 TOWER ROAD,DENVER,39.8190559,-104.7703157,82038.0,HOTEL,,82038,,6762 TOWER ROAD
3733,2580 SOUTH UNIVERSITY BLVD,DENVER,39.6698916,-104.9590484,100500.0,MULTIFAMILY HOUSING,,100500,,2580 SOUTH UNIVERSITY BLVD
C10164,4850 E 62nd Ave.,Commerce City,39.808747,-104.9301075,56861.0,Supermarket/Grocery Store,,59667.0,,4850 E 62ND AVE
5676,4699 Kittredge St,Denver,39.7779042,-104.8038771,469978.0,Multifamily Housing,37.7,515385.0,2166.16,4699 KITTREDGE ST
4719,3310 S. Kenton St.,Denver,39.6576401,-104.8582314,188758.0,Multifamily Housing,50.3,236238.0,988.13,3310 SOUTH KENTON STREET
